"parentTconst";"seasonNumber";"episodeNumber";"title_basics_titleBasicsId"
806910;1;124;83171
806910;1;125;83172
806910;1;126;83173
806910;1;131;83174
806910;1;130;83175
806910;1;128;83176
806910;1;123;83177
53510;0;0;83231
176357;1;4;83325
46593;28;22;83523
159876;12;2;83536
165592;13;8;83566
176357;1;25;83613
1480503;1;71;83626
1012950;1;1;83787
1380834;1;1;83809
969784;2;11;83862
176357;1;9;83935
1480503;1;36;83985
176357;1;10;84022
202179;12;5;84024
80231;1;10;84035
165592;12;19;84082
85032;1;0;84093
762803;8;14;84097
165592;13;4;84142
199214;2;4;84161
169446;0;0;84185
1012950;5;1;84186
176357;1;2;84209
83437;1;1;84218
165593;15;3;84257
1480503;1;11;84275
176357;1;17;84371
176357;1;11;84499
176357;1;16;84537
259794;1;3;84603
846838;1;3;84641
846838;1;2;84642
176357;1;3;84653
1012950;4;3;84676
806910;1;133;84703
806910;1;137;84731
83486;1;1;84754
46593;28;14;84758
83488;1;1;84759
806910;1;139;84765
806910;1;132;84766
806910;1;138;84767
806910;1;134;84768
806910;1;140;84769
806910;1;143;84770
806910;1;135;84771
165592;12;16;84804
46593;28;12;84885
176357;1;14;84916
75474;7;5;85193
806901;13;1;85197
806910;1;147;85259
176357;3;12;85343
85002;1;1;85386
176357;2;3;85523
898240;1;1;85534
176357;2;5;85538
176357;2;8;85558
1287866;1;8;85630
75471;6;1;85651
96552;0;0;85677
165593;16;3;85727
159876;11;11;85729
1155386;1;1;85826
1155386;1;2;85827
1155386;1;3;85828
270639;0;0;85847
85051;1;1;85898
85055;1;1;85914
176357;4;2;85917
2286153;1;6;85942
176357;2;2;85944
202179;13;7;86052
199214;3;3;86109
167732;1;18;86114
86791;1;1;86202
176357;2;12;86210
85084;1;0;86223
85088;1;0;86249
147770;1;8;86400
806910;1;152;86414
806910;1;146;86415
806910;1;144;86416
806910;1;148;86417
806910;1;149;86418
176357;3;3;86481
1856236;1;8;86530
2158111;1;3;86905
147770;1;7;86970
199184;8;14;87012
9074082;0;0;87016
86678;1;1;87025
80231;1;8;87051
199214;4;5;87059
176357;3;14;87079
147770;1;10;87087
86690;1;0;87093
147770;1;3;87106
985040;1;1;87124
147770;1;4;87153
199214;4;7;87199
86712;1;1;87259
176357;5;11;87267
